#	선수명	팀명	타석	타율	BABIP	볼넷%	삼진%	볼/삼	ISO	타수/홈런	OPS	RC	RC/27	wRC	SPD	wSB	wOBA	wRAA	WAR
130	김민하	한화	140	0.256	0.361	6.4	29.3	0.22	0.096	62.50	0.671	13.92	3.72	13.79	3.36	0.01	0.308	-2.69	0.05
131	홍창기	LG	26	0.250	0.500	3.8	46.2	0.08	0.083	-	0.641	2.71	3.85	2.26	3.69	0.56	0.295	-0.80	0.05
132	김지수	Hero	32	0.267	0.348	6.2	21.9	0.29	0.066	-	0.646	2.96	3.47	2.82	1.58	0.01	0.296	-0.95	0.04
133	장영석	Hero	413	0.247	0.290	6.5	18.6	0.35	0.097	53.14	0.654	38.88	3.51	37.80	1.52	0.16	0.300	-10.81	0.04
134	예진원	Hero	8	0.167	0.333	25.0	37.5	0.67	0.166	-	0.708	0.95	5.13	1.05	3.48	0.00	0.345	0.11	0.03
135	최영진	삼성	275	0.251	0.291	5.1	17.1	0.30	0.127	50.20	0.674	28.15	3.82	24.93	4.75	0.34	0.299	-7.44	0.02
136	신성현	두산	54	0.195	0.250	18.5	25.9	0.71	0.073	41.00	0.620	5.41	4.17	5.45	4.31	0.03	0.310	-0.91	0.02
137	최선호	삼성	8	0.167	0.167	25.0	0.0	-	0.000	-	0.542	0.77	4.16	0.77	5.42	0.19	0.305	-0.18	0.02
138	이원석	한화	9	0.000	0.000	22.2	55.6	0.40	0.000	-	0.333	0.61	2.74	0.48	19.66	0.37	0.256	-0.58	0.01
139	이정훈	KIA	15	0.286	0.286	0.0	6.7	0.00	0.071	-	0.624	0.76	1.58	0.91	-4.34	0.00	0.265	-0.86	0.00
140	김민수	롯데	37	0.235	0.400	2.7	37.8	0.07	0.089	-	0.621	2.87	2.77	2.94	-2.19	0.01	0.286	-1.41	0.00
141	최항	SK	147	0.228	0.279	10.9	16.3	0.67	0.040	-	0.590	12.27	3.22	11.72	3.18	0.43	0.287	-5.58	0.00
142	이동훈	한화	31	0.290	0.391	0.0	25.8	0.00	0.033	-	0.613	2.98	3.50	2.17	4.18	0.56	0.275	-1.48	-0.01
143	김웅빈	Hero	11	0.273	0.333	0.0	18.2	0.00	0.091	-	0.637	0.36	0.97	0.80	-5.41	0.00	0.278	-0.50	-0.01
144	하주석	한화	20	0.263	0.333	0.0	20.0	0.00	0.105	-	0.631	1.50	2.53	1.37	2.15	0.00	0.274	-0.98	-0.01
145	이유찬	두산	13	0.231	0.300	0.0	23.1	0.00	0.000	-	0.462	1.29	3.48	0.16	16.46	0.92	0.211	-1.37	-0.01
146	지석훈	NC	169	0.228	0.286	5.9	21.9	0.27	0.101	74.50	0.628	14.09	3.02	13.51	1.74	-0.42	0.287	-6.38	-0.01
147	윤수강	NC	4	0.250	0.333	0.0	25.0	0.00	0.000	-	0.500	0.00	0.00	0.11	-11.52	0.00	0.228	-0.36	-0.02
148	김사훈	롯데	1	0.000	0.000	0.0	0.0	-	0.000	-	0.000	0.00	0.00	-0.17	-	0.00	0.000	-0.29	-0.02
149	김진곤	KT	34	0.267	0.364	5.9	23.5	0.25	0.066	-	0.646	2.80	3.02	2.99	3.49	-0.29	0.296	-1.01	-0.03
150	채태인	롯데	182	0.251	0.311	6.0	24.7	0.24	0.156	33.40	0.709	19.89	4.07	18.50	0.77	0.06	0.311	-2.92	-0.03
151	서상우	LG	24	0.238	0.385	12.5	33.3	0.38	0.048	-	0.619	1.98	3.14	2.17	-0.01	0.01	0.299	-0.65	-0.03
152	이범호	KIA	31	0.231	0.208	9.7	9.7	1.00	0.154	26.00	0.675	3.12	3.66	2.70	0.00	0.01	0.295	-0.95	-0.03
153	주효상	Hero	30	0.207	0.273	3.3	23.3	0.14	0.138	-	0.578	2.39	2.81	1.64	8.50	0.01	0.258	-1.89	-0.03
154	안치영	KT	7	0.167	0.250	0.0	28.6	0.00	0.000	-	0.453	0.36	1.94	0.28	-	0.00	0.242	-0.54	-0.03
155	채현우	SK	1	0.000	-	0.0	100.0	0.00	0.000	-	0.000	-1.56	-21.06	-0.17	-	0.07	0.000	-0.29	-0.03
156	김주형	Hero	1	0.000	0.000	0.0	0.0	-	0.000	-	0.000	0.00	0.00	-0.17	-	0.00	0.000	-0.29	-0.03
157	박민석	KT	1	0.000	0.000	0.0	0.0	-	0.000	-	0.000	0.00	0.00	-0.17	-	0.00	0.000	-0.29	-0.03
158	오준혁	SK	1	0.000	-	0.0	100.0	0.00	0.000	-	0.000	0.00	0.00	-0.17	-	0.00	0.000	-0.29	-0.03
159	박유연	두산	1	0.000	-	0.0	100.0	0.00	0.000	-	0.000	0.00	0.00	-0.17	-	0.00	0.000	-0.29	-0.03
160	박상언	한화	1	0.000	-	0.0	100.0	0.00	0.000	-	0.000	0.00	0.00	-0.17	-	0.00	0.000	-0.29	-0.03
161	문경찬(타	KIA	1	0.000	-	0.0	100.0	0.00	0.000	-	0.000	0.00	0.00	-0.17	-	0.00	0.000	-0.29	-0.03
162	추재현	Hero	1	0.000	0.000	0.0	0.0	-	0.000	-	0.000	0.00	0.00	-0.17	-	0.00	0.000	-0.29	-0.03
163	김재윤(타	KT	1	0.000	0.000	0.0	0.0	-	0.000	-	0.000	0.00	0.00	-0.17	-	0.00	0.000	-0.29	-0.03
164	정성종(타	롯데	1	0.000	0.000	0.0	0.0	-	0.000	-	0.000	0.00	0.00	-0.17	-	0.00	0.000	-0.29	-0.03
165	양우현	삼성	1	0.000	0.000	0.0	0.0	-	0.000	-	0.000	0.00	0.00	-0.17	-	0.00	0.000	-0.29	-0.03
166	김성민	SK	4	0.250	1.000	0.0	75.0	0.00	0.000	-	0.500	0.25	2.25	0.11	1.81	0.00	0.228	-0.36	-0.04
167	김응민	삼성	13	0.231	0.429	0.0	46.2	0.00	0.077	-	0.539	0.62	1.52	0.45	-3.90	0.00	0.235	-1.08	-0.04
168	이인행	KIA	20	0.188	0.300	10.0	30.0	0.33	0.062	-	0.566	1.33	2.39	1.52	-0.94	0.01	0.282	-0.83	-0.04
169	김은성	Hero	10	0.125	0.167	20.0	20.0	1.00	0.000	-	0.425	0.30	1.01	0.42	-3.19	0.00	0.244	-0.76	-0.04
170	황진수	롯데	4	0.000	0.000	25.0	50.0	0.50	0.000	-	0.250	0.07	0.63	-0.02	6.81	0.00	0.190	-0.49	-0.04
171	김준완	NC	19	0.250	0.267	10.5	10.5	1.00	0.000	-	0.566	1.67	3.47	1.28	1.81	0.01	0.272	-0.96	-0.05
172	이대형	KT	19	0.143	0.200	21.0	26.3	0.80	0.071	-	0.530	1.52	3.16	1.29	3.48	0.01	0.273	-0.94	-0.05
173	김재현	삼성	2	0.000	0.000	0.0	50.0	0.00	0.000	-	0.000	0.00	0.00	-0.35	-	0.00	0.000	-0.58	-0.05
174	김창혁	한화	2	0.000	0.000	0.0	50.0	0.00	0.000	-	0.000	0.00	0.00	-0.35	-	0.00	0.000	-0.58	-0.05
175	이찬건	롯데	2	0.000	-	0.0	100.0	0.00	0.000	-	0.000	0.00	0.00	-0.35	-	0.00	0.000	-0.58	-0.05
176	최정용	KIA	21	0.286	0.545	0.0	47.6	0.00	0.000	-	0.572	1.71	3.08	1.20	5.15	0.01	0.261	-1.27	-0.06
177	정준혁	롯데	11	0.273	0.600	0.0	54.6	0.00	0.000	-	0.546	0.82	2.77	0.51	3.48	0.00	0.249	-0.78	-0.06
178	유재신	KIA	59	0.255	0.325	10.2	20.3	0.50	0.078	-	0.661	5.55	3.41	5.91	10.00	-0.68	0.310	-1.04	-0.06
179	강진성	NC	104	0.247	0.293	2.9	19.2	0.15	0.124	48.50	0.669	8.97	3.03	9.89	3.39	-0.08	0.304	-2.35	-0.06
180	김종민	한화	21	0.200	0.250	0.0	33.3	0.00	0.150	20.00	0.550	1.07	1.60	0.73	0.15	0.00	0.236	-1.75	-0.06
